race,decile_score,score_text,two_year_recid
Other,4,Low,1
African-American,9,High,0
African-American,10,High,1
Caucasian,1,Low,0
Caucasian,2,Low,1
Caucasian,4,Low,1
African-American,2,Low,0
African-American,10,High,1
African-American,1,Low,1
African-American,8,High,1
Caucasian,4,Low,1
African-American,2,Low,0
African-American,8,High,1
Other,6,Medium,0
Caucasian,5,Medium,1
African-American,3,Low,1
Caucasian,1,Low,0
Caucasian,3,Low,0
African-American,4,Low,0
Caucasian,2,Low,0
African-American,1,Low,1
African-American,8,High,1
Hispanic,3,Low,0
Caucasian,4,Low,0
African-American,8,High,0
African-American,7,Medium,0
Caucasian,3,Low,1
African-American,4,Low,1
African-American,1,Low,0
Other,2,Low,1
African-American,9,High,1
African-American,6,Medium,1
African-American,1,Low,0
Caucasian,5,Medium,1
Caucasian,2,Low,1
African-American,3,Low,1
Caucasian,3,Low,1
African-American,3,Low,0
African-American,6,Medium,1
African-American,2,Low,0
Caucasian,1,Low,0
Caucasian,1,Low,0
African-American,6,Medium,0
African-American,7,Medium,0
African-American,6,Medium,1
African-American,7,Medium,1
Hispanic,3,Low,1
African-American,7,Medium,1
African-American,5,Medium,1
African-American,2,Low,0
Caucasian,4,Low,0
African-American,2,Low,0
African-American,4,Low,1
Caucasian,2,Low,1
African-American,1,Low,0
Other,1,Low,0
Caucasian,6,Medium,0
Caucasian,6,Medium,1
African-American,4,Low,1
African-American,9,High,1
Caucasian,8,High,1
Hispanic,1,Low,0
Caucasian,7,Medium,0
African-American,1,Low,1
African-American,7,Medium,0
Caucasian,7,Medium,0
African-American,9,High,1
Caucasian,8,High,0
African-American,8,High,0
African-American,10,High,1
African-American,9,High,0
African-American,10,High,1
Other,1,Low,0
Caucasian,3,Low,0
Caucasian,6,Medium,1
African-American,3,Low,0
African-American,1,Low,0
African-American,3,Low,1
Native American,3,Low,0
Caucasian,7,Medium,0
Caucasian,4,Low,1
Other,1,Low,0
Caucasian,9,High,1
Caucasian,1,Low,1
African-American,7,Medium,0
Hispanic,1,Low,1
African-American,10,High,1
Caucasian,1,Low,0
African-American,3,Low,0
Hispanic,4,Low,0
African-American,9,High,1
Caucasian,10,High,1
African-American,2,Low,1
Caucasian,1,Low,0
Caucasian,1,Low,0
Caucasian,2,Low,0
Caucasian,3,Low,0
Caucasian,8,High,1
Caucasian,7,Medium,1
Caucasian,6,Medium,1
Caucasian,1,Low,0
Caucasian,1,Low,0
Caucasian,7,Medium,0
Hispanic,6,Medium,1
African-American,2,Low,0
Other,2,Low,1
Caucasian,1,Low,0
African-American,5,Medium,1
Caucasian,5,Medium,1
African-American,4,Low,1
African-American,6,Medium,1
African-American,7,Medium,0
Hispanic,3,Low,1
African-American,8,High,0
African-American,9,High,1
Asian,2,Low,0
African-American,10,High,1
Caucasian,1,Low,0
Hispanic,4,Low,1
African-American,6,Medium,1
African-American,9,High,1
Hispanic,1,Low,0
African-American,8,High,0
Caucasian,1,Low,0
African-American,7,Medium,1
African-American,9,High,0
African-American,10,High,1
African-American,1,Low,0
Caucasian,1,Low,0
African-American,3,Low,1
African-American,3,Low,1
Caucasian,1,Low,1
Caucasian,2,Low,1
Caucasian,1,Low,0
Caucasian,3,Low,0
Hispanic,1,Low,0
African-American,3,Low,0
Caucasian,2,Low,0
African-American,7,Medium,0
African-American,4,Low,0
African-American,9,High,1
Hispanic,1,Low,1
African-American,6,Medium,1
Other,1,Low,0
African-American,10,High,1
African-American,4,Low,1
Caucasian,8,High,1
Other,7,Medium,0
African-American,1,Low,0
African-American,8,High,1
African-American,4,Low,1
African-American,3,Low,0
Caucasian,5,Medium,1
Caucasian,4,Low,0
Caucasian,1,Low,0
Hispanic,5,Medium,1
African-American,8,High,0
African-American,1,Low,0
African-American,7,Medium,1
African-American,3,Low,0
African-American,1,Low,0
Hispanic,6,Medium,1
Caucasian,1,Low,0
Hispanic,4,Low,0
African-American,5,Medium,0
Caucasian,4,Low,0
Hispanic,1,Low,0
Caucasian,1,Low,0
Caucasian,2,Low,1
African-American,2,Low,0
Caucasian,7,Medium,1
African-American,10,High,1
Caucasian,3,Low,0
African-American,1,Low,1
Caucasian,4,Low,0
African-American,1,Low,0
Asian,1,Low,0
Other,2,Low,0
African-American,9,High,1
Other,6,Medium,0
African-American,6,Medium,0
African-American,5,Medium,1
Caucasian,3,Low,1
African-American,8,High,1
Caucasian,1,Low,0
Caucasian,7,Medium,1
Other,1,Low,0
Caucasian,6,Medium,0
Other,1,Low,0
African-American,5,Medium,0
Caucasian,4,Low,1
African-American,9,High,0
African-American,7,Medium,0
African-American,6,Medium,0
African-American,7,Medium,1
Other,1,Low,0
African-American,8,High,1
Caucasian,6,Medium,1
African-American,3,Low,0
African-American,7,Medium,1
African-American,1,Low,0
African-American,1,Low,0
Caucasian,1,Low,0
African-American,2,Low,0
Caucasian,6,Medium,0
African-American,5,Medium,1
Caucasian,1,Low,1
Hispanic,6,Medium,0
African-American,5,Medium,1
Caucasian,6,Medium,1
African-American,7,Medium,1
Caucasian,5,Medium,0
Other,1,Low,0
Caucasian,2,Low,0
Caucasian,7,Medium,1
African-American,2,Low,0
Hispanic,1,Low,0
African-American,5,Medium,1
Caucasian,2,Low,1
African-American,6,Medium,0
African-American,5,Medium,1
Hispanic,3,Low,0
African-American,7,Medium,1
African-American,10,High,1
African-American,9,High,1
African-American,10,High,0
African-American,3,Low,0
African-American,7,Medium,1
African-American,5,Medium,0
African-American,3,Low,0
Other,6,Medium,0
Caucasian,2,Low,0
Caucasian,1,Low,0
African-American,2,Low,1
African-American,6,Medium,1
African-American,7,Medium,0
Caucasian,6,Medium,1
Caucasian,1,Low,1
African-American,10,High,0
African-American,2,Low,0
Caucasian,1,Low,0
Caucasian,3,Low,0
Caucasian,2,Low,0
African-American,8,High,0
Caucasian,9,High,1
African-American,4,Low,0
African-American,6,Medium,1
African-American,1,Low,0
Caucasian,2,Low,0
African-American,7,Medium,0
Caucasian,9,High,1
Caucasian,10,High,1
Hispanic,4,Low,0
Other,1,Low,1
African-American,9,High,0
Caucasian,6,Medium,0
African-American,9,High,1
Caucasian,2,Low,0
African-American,8,High,1
African-American,5,Medium,1
Caucasian,6,Medium,1
Caucasian,7,Medium,0
Caucasian,6,Medium,1
Caucasian,5,Medium,1
Other,4,Low,1
African-American,1,Low,0
Caucasian,1,Low,0
Caucasian,3,Low,0
African-American,7,Medium,0
Caucasian,1,Low,0
Hispanic,3,Low,0
Hispanic,4,Low,0
African-American,6,Medium,1
Caucasian,3,Low,1
African-American,5,Medium,0
African-American,1,Low,0
Hispanic,1,Low,0
African-American,2,Low,0
African-American,6,Medium,1
African-American,9,High,0
Caucasian,1,Low,0
African-American,3,Low,1
African-American,7,Medium,0
African-American,2,Low,0
African-American,2,Low,0
Caucasian,1,Low,0
Caucasian,4,Low,0
African-American,1,Low,0
Hispanic,5,Medium,0
African-American,9,High,1
African-American,3,Low,0
African-American,9,High,1
Caucasian,7,Medium,1
African-American,2,Low,0
African-American,2,Low,1
African-American,6,Medium,0
Caucasian,1,Low,0
African-American,9,High,1
Caucasian,6,Medium,1
Caucasian,8,High,1
Caucasian,4,Low,0
African-American,2,Low,0
Other,3,Low,0
Hispanic,9,High,0
Caucasian,1,Low,0
Caucasian,3,Low,1
Caucasian,1,Low,0
African-American,1,Low,0
African-American,2,Low,0
African-American,7,Medium,0
African-American,3,Low,0
Caucasian,1,Low,0
Caucasian,3,Low,0
African-American,8,High,1
Caucasian,5,Medium,0
Caucasian,4,Low,0
African-American,8,High,1
African-American,9,High,1
African-American,2,Low,0
Caucasian,4,Low,1
Caucasian,5,Medium,0
African-American,3,Low,0
Caucasian,2,Low,0
African-American,8,High,0
African-American,3,Low,0
African-American,2,Low,0
Caucasian,1,Low,0
African-American,5,Medium,0
Caucasian,1,Low,0
African-American,1,Low,1
African-American,2,Low,0
Caucasian,1,Low,1
African-American,1,Low,0
Hispanic,1,Low,1
African-American,4,Low,0
Caucasian,1,Low,1
African-American,4,Low,0
African-American,7,Medium,0
African-American,2,Low,1
African-American,6,Medium,0
Caucasian,1,Low,1
Caucasian,2,Low,0
Hispanic,6,Medium,0
Caucasian,5,Medium,1
African-American,3,Low,1
African-American,4,Low,1
Hispanic,1,Low,0
Other,10,High,1
Hispanic,9,High,0
African-American,6,Medium,1
Caucasian,2,Low,1
Asian,3,Low,0
Hispanic,4,Low,0
African-American,7,Medium,1
African-American,10,High,1
African-American,8,High,1
Other,1,Low,0
Caucasian,7,Medium,0
Caucasian,1,Low,1
Caucasian,1,Low,0
African-American,5,Medium,0
African-American,7,Medium,0
Hispanic,1,Low,0
Caucasian,5,Medium,0
African-American,9,High,1
Caucasian,9,High,0
African-American,2,Low,0
Caucasian,7,Medium,0
African-American,5,Medium,0
African-American,7,Medium,1
Caucasian,4,Low,0
African-American,2,Low,0
African-American,8,High,1
Caucasian,1,Low,1
Other,4,Low,0
Caucasian,1,Low,0
African-American,8,High,1
African-American,7,Medium,1
Caucasian,7,Medium,1
Caucasian,6,Medium,0
African-American,3,Low,0
Caucasian,1,Low,0
African-American,9,High,1
African-American,4,Low,0
African-American,5,Medium,1
Caucasian,1,Low,0
Caucasian,4,Low,0
African-American,10,High,0
African-American,10,High,0
Caucasian,4,Low,1
African-American,2,Low,1
African-American,7,Medium,0
Caucasian,1,Low,0
African-American,4,Low,1
Hispanic,10,High,1
African-American,3,Low,0
Caucasian,3,Low,1
Caucasian,9,High,0
African-American,10,High,1
Caucasian,1,Low,0
Caucasian,4,Low,0
Hispanic,8,High,1
Caucasian,3,Low,1
African-American,7,Medium,1
Hispanic,3,Low,0
African-American,1,Low,0
Asian,1,Low,1
African-American,1,Low,0
Caucasian,5,Medium,0
African-American,3,Low,1
Caucasian,1,Low,0
Hispanic,10,High,1
Caucasian,7,Medium,1
Caucasian,1,Low,1
Caucasian,8,High,1
Other,5,Medium,0
African-American,8,High,0
African-American,9,High,1
African-American,3,Low,1
African-American,6,Medium,0
African-American,9,High,0
Caucasian,8,High,1
African-American,1,Low,0
African-American,6,Medium,1
Other,2,Low,1
African-American,4,Low,1
African-American,4,Low,1
Caucasian,2,Low,0
Hispanic,1,Low,0
African-American,7,Medium,1
African-American,9,High,1
Caucasian,9,High,1
African-American,2,Low,1
African-American,9,High,1
Caucasian,3,Low,0
Caucasian,3,Low,0
African-American,8,High,1
African-American,8,High,1
African-American,7,Medium,1
African-American,1,Low,0
Hispanic,5,Medium,1
African-American,1,Low,0
African-American,8,High,0
Caucasian,7,Medium,1
Caucasian,3,Low,0
African-American,7,Medium,0
African-American,9,High,1
Caucasian,1,Low,0
African-American,6,Medium,1
African-American,5,Medium,0
Caucasian,4,Low,0
African-American,10,High,0
African-American,9,High,0
Caucasian,4,Low,1
Caucasian,4,Low,0
African-American,7,Medium,0
Other,1,Low,0
Hispanic,1,Low,0
African-American,3,Low,1
African-American,5,Medium,1
African-American,2,Low,0
Caucasian,3,Low,0
African-American,10,High,1
African-American,2,Low,0
African-American,2,Low,0
African-American,8,High,1
African-American,3,Low,1
Caucasian,1,Low,0
African-American,4,Low,0
Caucasian,5,Medium,1
African-American,1,Low,0
African-American,6,Medium,0
Caucasian,1,Low,0
Caucasian,3,Low,0
African-American,4,Low,0
African-American,3,Low,0
Caucasian,4,Low,0
African-American,2,Low,0
Caucasian,5,Medium,0
African-American,7,Medium,0
African-American,5,Medium,1
African-American,1,Low,0
Caucasian,4,Low,0
Caucasian,2,Low,1
Hispanic,5,Medium,0
African-American,3,Low,1
Caucasian,1,Low,1
Native American,2,Low,0
African-American,1,Low,0
African-American,5,Medium,1
African-American,5,Medium,0
African-American,8,High,0
African-American,9,High,1
Caucasian,4,Low,0
African-American,3,Low,0
Caucasian,1,Low,1
Caucasian,1,Low,0
Caucasian,1,Low,0
African-American,3,Low,1
African-American,1,Low,0
Hispanic,8,High,1
Other,4,Low,0
African-American,9,High,1
Hispanic,4,Low,0
African-American,4,Low,0
African-American,8,High,1
African-American,6,Medium,0
Caucasian,1,Low,0
African-American,7,Medium,1
Caucasian,1,Low,1
Caucasian,2,Low,1
African-American,9,High,0
African-American,8,High,1
African-American,5,Medium,0
African-American,9,High,1
African-American,5,Medium,0
African-American,1,Low,1
African-American,10,High,1
Caucasian,10,High,1
African-American,4,Low,0
Other,6,Medium,0
African-American,1,Low,0
Caucasian,4,Low,0
African-American,1,Low,0
Hispanic,5,Medium,0
Caucasian,1,Low,1
African-American,1,Low,0
Caucasian,3,Low,1
African-American,1,Low,0
African-American,4,Low,0
African-American,1,Low,0
African-American,2,Low,0
African-American,2,Low,0
African-American,3,Low,0
African-American,7,Medium,1
African-American,5,Medium,0
Caucasian,1,Low,0
African-American,4,Low,0
African-American,10,High,1
African-American,7,Medium,0
Caucasian,2,Low,0
Caucasian,1,Low,0
Caucasian,2,Low,0
African-American,2,Low,0
African-American,4,Low,0
African-American,5,Medium,0
Hispanic,10,High,1
African-American,7,Medium,1
African-American,4,Low,0
African-American,6,Medium,0
Caucasian,5,Medium,0
African-American,10,High,1
African-American,1,Low,0
African-American,2,Low,0
Other,1,Low,0
Caucasian,1,Low,0
Caucasian,4,Low,1
African-American,8,High,0
Hispanic,3,Low,1
Asian,8,High,1
African-American,10,High,1
African-American,6,Medium,1
African-American,4,Low,0
Hispanic,4,Low,1
Caucasian,4,Low,0
African-American,2,Low,0
Hispanic,5,Medium,1
Hispanic,3,Low,1
African-American,4,Low,1
Caucasian,1,Low,0
Caucasian,8,High,0
African-American,6,Medium,1
Hispanic,7,Medium,0
African-American,5,Medium,1
Hispanic,3,Low,1
Caucasian,8,High,0
Caucasian,3,Low,0
Other,7,Medium,0
Other,2,Low,1
Caucasian,1,Low,0
Caucasian,4,Low,0
African-American,9,High,0
Caucasian,2,Low,0
African-American,6,Medium,1
Hispanic,1,Low,0
Caucasian,7,Medium,1
Caucasian,3,Low,0
African-American,6,Medium,1
Caucasian,5,Medium,1
Caucasian,2,Low,1
African-American,10,High,1
Caucasian,1,Low,0
African-American,8,High,1
Other,5,Medium,1
Caucasian,1,Low,1
African-American,5,Medium,0
Caucasian,8,High,1
Caucasian,7,Medium,1
African-American,5,Medium,0
African-American,4,Low,1
Other,1,Low,0
African-American,3,Low,0
African-American,4,Low,0
Caucasian,1,Low,0
Other,2,Low,0
Other,6,Medium,0
African-American,1,Low,1
Caucasian,8,High,0
Caucasian,1,Low,0
African-American,6,Medium,0
Other,1,Low,0
African-American,2,Low,0
African-American,6,Medium,0
African-American,7,Medium,1
Hispanic,3,Low,1
Caucasian,1,Low,0
Caucasian,2,Low,0
Other,4,Low,0
Caucasian,9,High,1
African-American,9,High,1
African-American,8,High,0
Caucasian,6,Medium,1
Caucasian,5,Medium,0
African-American,4,Low,0
African-American,1,Low,0
African-American,10,High,1
Caucasian,1,Low,0
African-American,7,Medium,0
African-American,7,Medium,0
Caucasian,3,Low,0
Caucasian,6,Medium,0
Caucasian,1,Low,1
Caucasian,1,Low,0
African-American,2,Low,0
Native American,10,High,1
African-American,6,Medium,1
Caucasian,1,Low,0
Caucasian,1,Low,0
African-American,2,Low,0
Caucasian,7,Medium,1
African-American,10,High,1
African-American,10,High,1
African-American,9,High,1
African-American,6,Medium,0
African-American,10,High,1
African-American,5,Medium,1
Caucasian,4,Low,1
Caucasian,1,Low,0
Caucasian,9,High,1
African-American,5,Medium,1
Other,1,Low,1
African-American,4,Low,1
African-American,6,Medium,0
African-American,4,Low,0
African-American,2,Low,1
Hispanic,4,Low,0
Caucasian,3,Low,0
Other,5,Medium,1
Hispanic,1,Low,0
Caucasian,5,Medium,0
African-American,2,Low,1
African-American,2,Low,0
Caucasian,5,Medium,1
African-American,2,Low,0
Caucasian,3,Low,0
Caucasian,5,Medium,1
Hispanic,3,Low,0
Caucasian,1,Low,0
Caucasian,4,Low,0
Caucasian,1,Low,0
Caucasian,8,High,1
Caucasian,6,Medium,0
Caucasian,2,Low,0
Caucasian,4,Low,0
African-American,4,Low,1
African-American,8,High,1
Caucasian,1,Low,0
African-American,10,High,0
Caucasian,4,Low,1
African-American,10,High,1
African-American,1,Low,0
Caucasian,1,Low,1
Hispanic,3,Low,1
African-American,8,High,1
African-American,6,Medium,0
Caucasian,1,Low,0
African-American,7,Medium,1
African-American,6,Medium,0
African-American,1,Low,1
African-American,7,Medium,1
Caucasian,3,Low,0
African-American,3,Low,1
African-American,3,Low,1
African-American,1,Low,0
African-American,4,Low,1
African-American,2,Low,1
African-American,4,Low,0
African-American,1,Low,0
African-American,9,High,1
African-American,7,Medium,1
African-American,9,High,1
Hispanic,1,Low,1
African-American,9,High,1
Hispanic,2,Low,1
African-American,3,Low,0
Hispanic,7,Medium,1
Other,1,Low,0
African-American,4,Low,0
African-American,2,Low,1
African-American,5,Medium,1
Caucasian,8,High,0
Caucasian,5,Medium,1
African-American,1,Low,1
Caucasian,1,Low,0
African-American,8,High,1
Caucasian,1,Low,0
African-American,6,Medium,1
Caucasian,8,High,1
Other,1,Low,1
African-American,5,Medium,0
African-American,10,High,1
African-American,10,High,0
African-American,1,Low,1
African-American,4,Low,1
African-American,1,Low,0
Caucasian,8,High,1
Caucasian,1,Low,0
Caucasian,3,Low,1
African-American,6,Medium,0
African-American,3,Low,0
Caucasian,2,Low,0
Caucasian,2,Low,0
Caucasian,4,Low,1
African-American,5,Medium,1
Caucasian,3,Low,0
African-American,2,Low,1
African-American,5,Medium,1
African-American,2,Low,0
Caucasian,5,Medium,1
Caucasian,2,Low,0
Hispanic,10,High,1
African-American,10,High,1
Caucasian,1,Low,0
African-American,6,Medium,1
African-American,2,Low,0
African-American,10,High,1
Caucasian,6,Medium,0
Caucasian,6,Medium,1
Caucasian,1,Low,0
Caucasian,7,Medium,1
Caucasian,2,Low,1
Caucasian,3,Low,0
African-American,7,Medium,1
African-American,1,Low,0
African-American,3,Low,1
African-American,3,Low,1
African-American,3,Low,0
African-American,8,High,0
African-American,1,Low,0
Caucasian,2,Low,0
African-American,6,Medium,1
Caucasian,1,Low,1
Caucasian,3,Low,0
Caucasian,5,Medium,1
Other,1,Low,0
African-American,2,Low,1
Caucasian,5,Medium,0
African-American,8,High,1
African-American,2,Low,0
African-American,4,Low,1
Caucasian,1,Low,0
African-American,7,Medium,1
African-American,2,Low,1
Caucasian,1,Low,0
African-American,9,High,0
Hispanic,2,Low,0
African-American,7,Medium,0
African-American,2,Low,0
African-American,4,Low,1
African-American,10,High,1
Caucasian,6,Medium,0
African-American,10,High,1
Hispanic,1,Low,1
African-American,4,Low,0
Hispanic,1,Low,0
African-American,5,Medium,0
Caucasian,3,Low,0
African-American,7,Medium,1
Caucasian,1,Low,0
Other,3,Low,1
Hispanic,1,Low,1
African-American,10,High,1
Caucasian,1,Low,0
African-American,3,Low,0
Hispanic,1,Low,0
Caucasian,3,Low,0
Caucasian,10,High,1
Caucasian,2,Low,0
Caucasian,2,Low,1
African-American,2,Low,0
African-American,5,Medium,0
Caucasian,2,Low,0
Caucasian,6,Medium,1
Caucasian,1,Low,1
African-American,2,Low,1
Hispanic,2,Low,0
African-American,4,Low,0
African-American,7,Medium,1
African-American,6,Medium,1
Caucasian,3,Low,0
Caucasian,1,Low,0
Hispanic,1,Low,0
African-American,1,Low,0
African-American,7,Medium,1
African-American,7,Medium,1
Caucasian,9,High,0
Caucasian,1,Low,1
Caucasian,8,High,1
African-American,1,Low,0
African-American,3,Low,1
Caucasian,2,Low,0
African-American,3,Low,0
Hispanic,3,Low,1
Caucasian,5,Medium,0
Caucasian,1,Low,1
Hispanic,3,Low,0
Caucasian,4,Low,0
African-American,4,Low,1
Caucasian,1,Low,0
Caucasian,5,Medium,1
African-American,1,Low,0
Hispanic,2,Low,0
African-American,7,Medium,1
African-American,8,High,1
African-American,6,Medium,1
African-American,1,Low,0
Caucasian,6,Medium,0
African-American,9,High,1
African-American,7,Medium,1
African-American,1,Low,0
Caucasian,8,High,1
Caucasian,1,Low,0
African-American,10,High,0
African-American,7,Medium,1
Caucasian,7,Medium,0
Caucasian,7,Medium,0
African-American,6,Medium,1
African-American,7,Medium,1
Caucasian,1,Low,0
Caucasian,1,Low,0
Caucasian,3,Low,0
African-American,6,Medium,0
African-American,2,Low,0
Caucasian,6,Medium,0
African-American,4,Low,1
African-American,6,Medium,1
Caucasian,1,Low,0
Caucasian,7,Medium,1
African-American,3,Low,0
African-American,6,Medium,1
African-American,8,High,1
African-American,4,Low,1
African-American,2,Low,0
African-American,4,Low,0
African-American,9,High,0
African-American,4,Low,0
Other,1,Low,0
Other,3,Low,0
African-American,6,Medium,1
African-American,7,Medium,0
African-American,6,Medium,0
African-American,2,Low,0
African-American,5,Medium,0
Caucasian,1,Low,0
Other,1,Low,0
African-American,2,Low,0
African-American,6,Medium,1
African-American,5,Medium,0
Caucasian,2,Low,0
Caucasian,3,Low,1
African-American,9,High,0
African-American,7,Medium,1
African-American,1,Low,1
Other,9,High,1
African-American,2,Low,1
African-American,2,Low,0
African-American,9,High,0
Caucasian,1,Low,0
Caucasian,1,Low,0
Caucasian,2,Low,0
African-American,4,Low,1
Caucasian,8,High,1
Caucasian,1,Low,0
Hispanic,1,Low,0
African-American,1,Low,0
African-American,1,Low,0
African-American,7,Medium,1
Caucasian,2,Low,1
African-American,6,Medium,1
Caucasian,1,Low,0
African-American,9,High,0
Caucasian,9,High,1
Caucasian,1,Low,0
African-American,7,Medium,1
African-American,8,High,1
Hispanic,1,Low,0
Other,1,Low,0
African-American,1,Low,0
Hispanic,1,Low,1
African-American,1,Low,0
Caucasian,2,Low,0
Caucasian,2,Low,0
Caucasian,9,High,0
Caucasian,1,Low,0
African-American,5,Medium,0
African-American,4,Low,0
African-American,1,Low,0
Caucasian,6,Medium,1
Caucasian,6,Medium,0
African-American,8,High,1
African-American,10,High,1
African-American,6,Medium,1
Caucasian,2,Low,1
African-American,2,Low,0
African-American,8,High,0
African-American,5,Medium,1
African-American,9,High,1
Caucasian,9,High,1
Caucasian,2,Low,1
African-American,1,Low,0
Caucasian,1,Low,0
African-American,9,High,1
Caucasian,5,Medium,1
Hispanic,7,Medium,0
Caucasian,1,Low,0
Caucasian,1,Low,0
Caucasian,2,Low,1
African-American,5,Medium,0
Caucasian,3,Low,0
African-American,10,High,1
Caucasian,1,Low,0
Caucasian,3,Low,0
African-American,7,Medium,1
Caucasian,4,Low,0
Caucasian,1,Low,0
Caucasian,3,Low,0
Caucasian,4,Low,1
African-American,7,Medium,1
African-American,6,Medium,0
African-American,2,Low,0
African-American,7,Medium,1
Caucasian,1,Low,0
African-American,1,Low,1
African-American,1,Low,0
Caucasian,2,Low,1
Caucasian,5,Medium,1
Caucasian,4,Low,1
African-American,2,Low,1
African-American,5,Medium,1
African-American,4,Low,0
Other,10,High,1
African-American,8,High,1
African-American,4,Low,0
Other,1,Low,0
African-American,3,Low,0
African-American,5,Medium,1
African-American,2,Low,0
Caucasian,8,High,1
Caucasian,1,Low,0
Caucasian,3,Low,0
African-American,1,Low,0
African-American,3,Low,1
African-American,10,High,0
Caucasian,2,Low,0
Hispanic,1,Low,0
Hispanic,1,Low,1
African-American,7,Medium,1
African-American,8,High,1
African-American,5,Medium,0
African-American,3,Low,1
African-American,3,Low,0
African-American,2,Low,0
African-American,6,Medium,1
Other,3,Low,1
Caucasian,1,Low,0
Caucasian,1,Low,0
Caucasian,2,Low,0
Caucasian,1,Low,0
African-American,10,High,0
African-American,5,Medium,0
African-American,4,Low,0
African-American,10,High,1
Caucasian,4,Low,0
Caucasian,2,Low,0
African-American,6,Medium,1
African-American,5,Medium,1
Caucasian,3,Low,0
Caucasian,3,Low,1
Caucasian,1,Low,1
Other,3,Low,0
African-American,8,High,1
Hispanic,7,Medium,1
Caucasian,3,Low,1
African-American,8,High,1
Caucasian,4,Low,0
African-American,2,Low,0
African-American,8,High,1
Hispanic,1,Low,0
Caucasian,8,High,1
African-American,5,Medium,1
Hispanic,6,Medium,0
African-American,3,Low,0
African-American,1,Low,1
Asian,5,Medium,1
Other,5,Medium,0
African-American,6,Medium,0
African-American,3,Low,1
African-American,4,Low,1
Caucasian,2,Low,0
African-American,9,High,1
African-American,5,Medium,0
African-American,6,Medium,0
African-American,10,High,1
Caucasian,6,Medium,0
African-American,10,High,1
Caucasian,3,Low,0
African-American,1,Low,1
Hispanic,1,Low,1
African-American,2,Low,1
Other,1,Low,0
African-American,5,Medium,0
Caucasian,9,High,1
Caucasian,4,Low,0
Caucasian,1,Low,0
African-American,2,Low,0
Hispanic,1,Low,0
Caucasian,1,Low,0
Caucasian,1,Low,0
African-American,8,High,1
African-American,10,High,1
Caucasian,7,Medium,0
Caucasian,1,Low,1
African-American,3,Low,0
Caucasian,2,Low,0
African-American,7,Medium,1
Caucasian,1,Low,0
Caucasian,3,Low,0
African-American,7,Medium,1
African-American,5,Medium,1
African-American,1,Low,0
Hispanic,6,Medium,1
Caucasian,5,Medium,1
African-American,3,Low,1
Hispanic,2,Low,1
Hispanic,2,Low,0
Hispanic,5,Medium,1
Hispanic,5,Medium,0
African-American,3,Low,1
African-American,7,Medium,1
African-American,1,Low,1
African-American,1,Low,0
African-American,9,High,1
African-American,5,Medium,1
African-American,5,Medium,0
Caucasian,2,Low,0
African-American,3,Low,0
Caucasian,2,Low,0
Caucasian,1,Low,0
African-American,6,Medium,0
Caucasian,6,Medium,0
African-American,7,Medium,0
Caucasian,9,High,1
African-American,8,High,1
African-American,1,Low,0
Other,2,Low,1
African-American,1,Low,0
Caucasian,1,Low,0
Hispanic,2,Low,1
African-American,4,Low,0
Hispanic,2,Low,1
African-American,1,Low,0
Caucasian,4,Low,0
African-American,8,High,0
African-American,5,Medium,0
Caucasian,8,High,1
Caucasian,6,Medium,1
Hispanic,4,Low,0
African-American,7,Medium,0
Caucasian,3,Low,1
Caucasian,8,High,1
Caucasian,6,Medium,1
African-American,5,Medium,0
African-American,3,Low,0
African-American,5,Medium,1
African-American,2,Low,0
Caucasian,1,Low,0
Caucasian,2,Low,0
Caucasian,4,Low,1
Caucasian,4,Low,0
Caucasian,4,Low,1
Caucasian,4,Low,1
Caucasian,1,Low,0
Caucasian,4,Low,1
African-American,1,Low,0
African-American,1,Low,0
Caucasian,2,Low,0
African-American,5,Medium,0
African-American,6,Medium,0
Hispanic,1,Low,1
African-American,5,Medium,0
Caucasian,3,Low,0
Caucasian,5,Medium,1
African-American,9,High,0
Caucasian,3,Low,0
African-American,10,High,1
African-American,3,Low,0
African-American,4,Low,0
Caucasian,8,High,1
African-American,10,High,1
African-American,1,Low,1
Caucasian,9,High,1
Caucasian,6,Medium,1
African-American,9,High,1
African-American,8,High,0
African-American,3,Low,0
Caucasian,1,Low,0
Caucasian,6,Medium,1
Caucasian,1,Low,0
Hispanic,2,Low,0
Caucasian,6,Medium,0
African-American,5,Medium,0
African-American,2,Low,1
African-American,8,High,1
African-American,4,Low,1
Caucasian,1,Low,0
African-American,6,Medium,1
African-American,3,Low,1
African-American,5,Medium,0
Caucasian,8,High,1
African-American,8,High,1
African-American,6,Medium,0
African-American,1,Low,0
African-American,9,High,0
African-American,1,Low,0
African-American,4,Low,1
Caucasian,2,Low,1
Caucasian,5,Medium,1
African-American,1,Low,1
African-American,10,High,1
Caucasian,4,Low,0
African-American,7,Medium,0
Caucasian,4,Low,0
Caucasian,3,Low,0
Caucasian,9,High,1
African-American,7,Medium,0
Caucasian,3,Low,0
African-American,3,Low,1
Hispanic,9,High,1
Caucasian,5,Medium,0
Caucasian,1,Low,0
Other,6,Medium,1
Caucasian,1,Low,0
Caucasian,1,Low,1
African-American,10,High,1
African-American,6,Medium,1
African-American,8,High,1
Hispanic,1,Low,0
African-American,6,Medium,1
African-American,3,Low,0
African-American,9,High,1
Caucasian,4,Low,0
African-American,6,Medium,1
Caucasian,4,Low,0
African-American,3,Low,0
Caucasian,4,Low,1
